symbol,price,buy_qty,sell_qty
ETHUSDT,2441,0.0,14.33
ETHUSDT,2442,0.0,1.02
ETHUSDT,2443,0.0,0.36
ETHUSDT,2444,0.0,2.36
ETHUSDT,2445,0.0,17.33
ETHUSDT,2446,0.0,0.83
ETHUSDT,2447,0.0,2.32
ETHUSDT,2448,0.0,205.53
ETHUSDT,2449,0.0,19.23
LTCUSDT,1.5,2.0,0.0
LTCUSDT,1.6,4.87,0.0
LTCUSDT,1.7000000000000002,79.95,0.0
LTCUSDT,1.8,319.03,0.0
LTCUSDT,1.9000000000000001,19.56,0.0
LTCUSDT,2.0,82.5,0.0
LTCUSDT,2.1,23.9,0.0
LTCUSDT,2.3000000000000003,18.18,0.0
LTCUSDT,4.0,350.0,0.0
LTCUSDT,5.0,38.5,0.0
LTCUSDT,5.2,10.0,0.0
LTCUSDT,5.7,1.76,0.0
LTCUSDT,5.800000000000001,2.56,0.0
LTCUSDT,6.0,17.46,0.0
LTCUSDT,7.0,14.29,0.0
LTCUSDT,10.0,175.33,0.0
LTCUSDT,10.3,1.0,0.0
LTCUSDT,10.8,23.15,0.0
LTCUSDT,15.0,1.0,0.0
LTCUSDT,16.0,11.85,0.0
LTCUSDT,16.3,0.62,0.0
LTCUSDT,16.400000000000002,1.0,0.0
LTCUSDT,16.7,10.18,0.0
LTCUSDT,17.0,11.77,0.0
LTCUSDT,17.1,5.0,0.0
LTCUSDT,18.3,4.69,0.0
LTCUSDT,19.400000000000002,4.41,0.0
LTCUSDT,20.0,37.02,0.0
LTCUSDT,20.3,0.49,0.0
LTCUSDT,20.5,4.17,0.0
LTCUSDT,21.700000000000003,3.95,0.0
LTCUSDT,22.0,101.05,0.0
LTCUSDT,22.400000000000002,242.0,0.0
LTCUSDT,22.5,70.0,0.0
LTCUSDT,22.700000000000003,70.0,0.0
LTCUSDT,22.8,3.76,0.0
LTCUSDT,23.0,117.0,0.0
LTCUSDT,23.200000000000003,50.0,0.0
LTCUSDT,23.3,70.0,0.0
LTCUSDT,23.6,179.0,0.0
LTCUSDT,24.0,200.0,0.0
LTCUSDT,24.1,97.0,0.0
LTCUSDT,24.200000000000003,3.01,0.0
LTCUSDT,24.3,0.41,0.0
LTCUSDT,25.0,53.55,0.0
LTCUSDT,26.0,4.57,0.0
LTCUSDT,27.8,2.09,0.0
LTCUSDT,28.0,0.36,0.0
LTCUSDT,28.3,0.35,0.0
LTCUSDT,28.900000000000002,13.03,0.0
LTCUSDT,29.6,5.1,0.0
LTCUSDT,29.900000000000002,16.84,0.0
LTCUSDT,30.0,469.34,0.0
LTCUSDT,30.6,29.4,0.0
LTCUSDT,30.700000000000003,13.01,0.0
LTCUSDT,30.8,17.97,0.0
LTCUSDT,31.0,161.29,0.0
LTCUSDT,31.400000000000002,1.39,0.0
LTCUSDT,31.5,3.17,0.0
LTCUSDT,32.1,15.0,0.0
LTCUSDT,32.300000000000004,0.31,0.0
LTCUSDT,33.300000000000004,1.09,0.0
LTCUSDT,33.7,0.74,0.0
LTCUSDT,33.800000000000004,0.12,0.0
LTCUSDT,34.0,0.29,0.0
LTCUSDT,35.0,203.86,0.0
LTCUSDT,35.1,2.83,0.0
LTCUSDT,35.5,143.0,0.0
LTCUSDT,35.7,6.0,0.0
LTCUSDT,36.0,140.0,0.0
LTCUSDT,36.300000000000004,0.28,0.0
LTCUSDT,36.5,130.0,0.0
LTCUSDT,36.9,0.59,0.0
LTCUSDT,37.0,130.0,0.0
LTCUSDT,37.1,14.63,0.0
LTCUSDT,37.5,120.0,0.0
LTCUSDT,37.7,150.0,0.0
LTCUSDT,37.800000000000004,20.21,0.0
LTCUSDT,38.0,136.16,0.0
LTCUSDT,38.1,150.0,0.0
LTCUSDT,38.2,14.1,0.0
LTCUSDT,38.5,153.0,0.0
LTCUSDT,38.7,0.38,0.0
LTCUSDT,38.800000000000004,6.49,0.0
LTCUSDT,38.900000000000006,160.14,0.0
LTCUSDT,39.0,37.3,0.0
LTCUSDT,39.2,0.38,0.0
LTCUSDT,39.300000000000004,150.0,0.0
LTCUSDT,39.400000000000006,1.48,0.0
LTCUSDT,39.5,8.67,0.0
LTCUSDT,39.7,260.08,0.0
LTCUSDT,39.900000000000006,6.48,0.0
LTCUSDT,40.0,903.95,0.0
LTCUSDT,40.1,150.0,0.0
LTCUSDT,40.300000000000004,7.07,0.0
LTCUSDT,40.5,12.51,0.0
LTCUSDT,40.6,152.1,0.0
LTCUSDT,40.800000000000004,143.23,0.0
LTCUSDT,41.0,3656.42,0.0
LTCUSDT,41.1,100.0,0.0
LTCUSDT,41.300000000000004,0.27,0.0
LTCUSDT,41.400000000000006,150.85,0.0
LTCUSDT,41.5,1.0,0.0
LTCUSDT,41.6,2.4,0.0
LTCUSDT,41.800000000000004,150.48,0.0
LTCUSDT,42.0,6.83,0.0
LTCUSDT,42.2,151.38,0.0
LTCUSDT,42.400000000000006,2.36,0.0
LTCUSDT,42.5,4.71,0.0
LTCUSDT,42.6,150.0,0.0
LTCUSDT,42.800000000000004,2.36,0.0
LTCUSDT,43.0,170.24,0.0
LTCUSDT,43.400000000000006,451.08,0.0
LTCUSDT,43.5,3.5,0.0
LTCUSDT,43.800000000000004,155.44,0.0
LTCUSDT,43.900000000000006,0.12,0.0
LTCUSDT,44.0,16.78,0.0
LTCUSDT,44.1,2.28,0.0
LTCUSDT,44.2,1.49,0.0
LTCUSDT,44.300000000000004,150.0,0.0
LTCUSDT,44.5,112.36,0.0
LTCUSDT,44.6,1.64,0.0
LTCUSDT,44.7,150.0,0.0
LTCUSDT,44.900000000000006,33.84,0.0
LTCUSDT,45.0,532.77,0.0
LTCUSDT,45.1,155.24,0.0
LTCUSDT,45.2,4.12,0.0
LTCUSDT,45.300000000000004,7.52,0.0
LTCUSDT,45.400000000000006,55.08,0.0
LTCUSDT,45.5,156.66,0.0
LTCUSDT,45.6,0.05,0.0
LTCUSDT,45.7,4.11,0.0
LTCUSDT,45.800000000000004,12.5,0.0
LTCUSDT,45.900000000000006,151.18,0.0
LTCUSDT,46.0,454.66,0.0
LTCUSDT,46.2,2.67,0.0
LTCUSDT,46.300000000000004,170.51,0.0
LTCUSDT,46.5,88.01,0.0
LTCUSDT,46.7,157.46,0.0
LTCUSDT,46.800000000000004,123.17,0.0
LTCUSDT,46.900000000000006,1.34,0.0
LTCUSDT,47.0,498.48,0.0
LTCUSDT,47.1,202.24,0.0
LTCUSDT,47.2,0.04,0.0
LTCUSDT,47.300000000000004,2.56,0.0
LTCUSDT,47.400000000000006,0.32,0.0
LTCUSDT,47.5,2.59,0.0
LTCUSDT,47.6,150.0,0.0
LTCUSDT,47.7,0.08,0.0
LTCUSDT,47.800000000000004,1.22,0.0
LTCUSDT,47.900000000000006,0.31,0.0
LTCUSDT,48.0,643.66,0.0
LTCUSDT,48.1,3.34,0.0
LTCUSDT,48.2,1.04,0.0
LTCUSDT,48.300000000000004,0.11,0.0
LTCUSDT,48.400000000000006,151.51,0.0
LTCUSDT,48.5,15.78,0.0
LTCUSDT,48.7,1.08,0.0
LTCUSDT,48.800000000000004,181.13,0.0
LTCUSDT,48.900000000000006,0.9,0.0
LTCUSDT,49.0,1863.69,0.0
LTCUSDT,49.1,1.19,0.0
LTCUSDT,49.2,150.04,0.0
LTCUSDT,49.400000000000006,1.56,0.0
LTCUSDT,49.5,0.1,0.0
LTCUSDT,49.6,151.6,0.0
LTCUSDT,49.7,2.44,0.0
LTCUSDT,49.800000000000004,2.17,0.0
LTCUSDT,49.900000000000006,0.57,0.0
LTCUSDT,50.0,508.48,0.0
LTCUSDT,50.1,21.02,0.0
LTCUSDT,50.2,0.5,0.0
LTCUSDT,50.300000000000004,0.12,0.0
LTCUSDT,50.400000000000006,152.41,0.0
LTCUSDT,50.5,44.91,0.0
LTCUSDT,50.6,2.65,0.0
LTCUSDT,50.7,2.93,0.0
LTCUSDT,50.800000000000004,150.1,0.0
LTCUSDT,50.900000000000006,27.96,0.0
LTCUSDT,51.0,206.66,0.0
